// [texture name]	[detail texture name]		[hscale]	[vscale]

zs_52b_wall01a          detail/dt_stone1		10.0		10.0256  256  no
zs_52b_wall01b          detail/dt_stone1		10.0		10.0256  256  no
zs_52b_wall03           detail/dt_stone1		10.0		10.0256  256  no
zs_52b_win01a           detail/dt_grass1		10.0		10.0256  256  no
zs_52b_win01b           detail/dt_grass1		10.0		10.0256  256  no
zs_red_road04           detail/dt_stone1		10.0		10.0256  256  no
zs_red_road05           detail/dt_stone1		10.0		10.0256  256  no
zs_red_wall04           detail/dt_stone1		10.0		10.0256  256  no
{chapel_roof01          detail/dt_wood1 		10.0		10.0256  256  no
{chapel_wood05          detail/dt_stone1		10.0		10.0256  256  no
{dm_chapel_wall         detail/dt_metal1		10.0		10.0256  256  no
{zs_52b_wall11          detail/dt_stone1		10.0		10.0256  256  no
{zs_5win01              detail/dt_grass1		10.0		10.0256  256  no
{zs_red_wall05          detail/dt_wood1 		10.0		10.0256  256  no
{zs_red_wall06          detail/dt_wood1 		10.0		10.0256  256  no
